the_geom,FS_CD,SHP_ADDR,ADDRESS,ZIP,DEPTNAME,HSENO,PREF_DIR,STNAME,STTYPE,SUFF_DIR,UNITDESC,X_COORD,Y_COORD
POINT (-118.30847478565374 34.08375012794097),52,Fire Station 52,4957 MELROSE AVE.,90029,FIRE,4957,,MELROSE,AVE,,,6468261.23133615,1853003.78836346
POINT (-118.28654226892745 34.07708277350275),6,Fire Station 6,326 N. VIRGIL AVE.,90004,FIRE,326,N,VIRGIL,AVE,,,6474895.4099969,1850557.76471221
POINT (-118.42037285259569 34.04404529506214),92,Fire Station 92,10556 W. PICO BLVD,90064,FIRE,10556,W,PICO,BLVD,,,6434222.00610764,1838657.47355221
POINT (-118.29120647521931 33.968767788084904),57,Fire Station 57,7800 S. VERMONT AVE.,90044,FIRE,7800,S,VERMONT,AVE,,,6473368.7929714,1811143.98888113
POINT (-118.5100228348254 34.192900556972354),100,Fire Station 100,6751 LOUISE AVE,91406,FIRE,6751,,LOUISE,AVE,,,6407434.92713597,1892973.60442105
POINT (-118.33703764881889 34.26401364326457),24,Fire Station 24,9411 WENTWORTH ST,91040,FIRE,9411,,WENTWORTH,ST,,,6459832.45849556,1918632.38709287
POINT (-118.44426999530748 34.21334138587794),81,Fire Station 81,14355 ARMINTA ST,91402,FIRE,14355,,ARMINTA,ST,,,6427351.43257847,1900317.93258013
POINT (-118.42849660365967 33.97421379432723),67,Fire Station 67,5451 PLAYA VISTA DR,90094,FIRE,5451,,PLAYA VISTA,DR,,,6431749.1675494,1813274.91801821
POINT (-118.29344225387213 33.7530857446022),36,Fire Station 36,1005 N GAFFEY ST,90732,FIRE,1005,N,GAFFEY,ST,,,6472461.73113723,1732654.1937613
POINT (-118.40367050081025 33.955648038995335),5,Fire Station 5,8900 EMERSON AVE,90045,FIRE,6621,,EMERSON,AVE,,,6439249.11186706,1806487.33808947
POINT (-118.55891757771558 34.27680196879182),8,Fire Station 8,11351 TAMPA AVE,91326,FIRE,11351,,TAMPA,AVE,,,6392819.00000307,1923584.99989104
POINT (-118.24789716684731 34.04123701497589),9,Fire Station 9,430 E 7TH ST,90014,FIRE,430,E,7TH,ST,,,6486410.00015664,1837573.99999738
POINT (-118.26403870865165 34.03737026897688),10,Fire Station 10,1335 S OLIVE ST,90015,FIRE,1335,S,OLIVE,ST,,,6481672.00011823,1836087.00001863
POINT (-118.27384152593281 34.05543491365177),11,Fire Station 11,1819 W 7TH ST,90057,FIRE,1819,W,7TH,ST,,,6478720.00011674,1842668.99997796
POINT (-118.19074248113876 34.11091760266492),12,Fire Station 12,5921 N FIGUEROA ST,90042,FIRE,5921,N,FIGUEROA,ST,,,6503928.99989548,1862802.00006622
POINT (-118.28937816222225 34.047518357055196),13,Fire Station 13,2401 W PICO BLVD,90006,FIRE,2401,W,PICO,BLVD,,,6473433.99986199,1840328.0000668
POINT (-118.25685009332506 34.012745664219786),14,Fire Station 14,3401 S CENTRAL AV,90011,FIRE,3401,S,CENTRAL,AVE,,,6483827.00007331,1827119.99990805
POINT (-118.28429977089868 34.02414823190091),15,Fire Station 15,915 W JEFFERSON BLVD,90007,FIRE,915,W,JEFFERSON,BLVD,,,6475519.99995506,1831292.00009422
POINT (-118.18058304972818 34.066175918675896),16,Fire Station 16,2011 N EASTERN AV,90032,FIRE,2011,N,EASTERN,AVE,,,6506975.00003706,1846514.00016196
POINT (-118.23035853213779 34.0257327362655),17,Fire Station 17,1601 S SANTA FE AV,90021,FIRE,1601,S,SANTA FE,AVE,,,6491866.2126694,1831826.78741047
POINT (-118.50139670323307 34.289600743071965),18,Fire Station 18,12050 BALBOA BLVD,91344,FIRE,12050,,BALBOA,BLVD,,,6410218.9999799,1928150.99994539
POINT (-118.47866149702475 34.05869604102462),19,Fire Station 19,12229 SUNSET BLVD,90049,FIRE,12229,,SUNSET,BLVD,,,6416685.99984114,1844088.00009272
POINT (-118.26540609527 34.077197656814384),20,Fire Station 20,2144 W SUNSET BLVD,90026,FIRE,2144,W,SUNSET,BLVD,,,6481295.99988598,1850581.99989997
POINT (-118.25487269802431 33.996905503210186),21,Fire Station 21,1192 E 51ST ST,90011,FIRE,1192,E,51ST,ST,,,6484517.00000565,1821112.00011304
POINT (-118.55425974749117 34.04253109515529),23,Fire Station 23,17281 SUNSET BLVD,90272,FIRE,17281,,SUNSET,BLVD,,,6393756.00009756,1838323.0001398
POINT (-118.20758753213707 34.03106151229337),25,Fire Station 25,2927 WHITTIER BLVD,90023,FIRE,2927,,WHITTIER,BLVD,,,6498770.0000429,1833751.00009747
POINT (-118.30932299546562 34.03874934525785),26,Fire Station 26,2009 S WESTERN AVE,90018,FIRE,2009,S,WESTERN,AVE,,,6467953.99999523,1836627.99992087
POINT (-118.33016178511232 34.09562688506799),27,Fire Station 27,1327 N COLE AVE,90028,FIRE,1327,N,COLE,AVE,,,6461708.67882448,1857346.8026433
POINT (-118.31535193155199 34.06198076216567),29,Fire Station 29,4029 W WILSHIRE BLVD,90010,FIRE,4029,W,WILSHIRE,BLVD,,,6466153.99998631,1845088.00006121
POINT (-118.27358929106366 33.981331046548206),33,Fire Station 33,6406 S MAIN ST,90003,FIRE,6406,S,MAIN,ST,,,6478723.00011073,1815701.0001083
POINT (-118.32511182723297 34.02122865160606),34,Fire Station 34,3661 7TH AVE,90018,FIRE,3661,,7TH,AVE,,,6463150.00008881,1830266.99984764
POINT (-118.44910614638131 34.059993904521505),37,Fire Station 37,1090 VETERAN AVE,90024,FIRE,1090,,VETERAN,AVE,,,6425639.99997772,1844518.99988689
POINT (-118.26169554419245 33.78100737708232),38,Fire Station 38,124 E I ST,90744,FIRE,124,E,I,ST,,,6482138.99984039,1742788.99993521
POINT (-118.44686811745778 34.1849379728373),39,Fire Station 39,14415 SYLVAN ST,91401,FIRE,14415,,SYLVAN,ST,,,6426519.99985814,1889985.00016205
POINT (-118.26148720702263 33.746877440917),40,Fire Station 40,330 FERRY ST,90731,FIRE,330,,FERRY,ST,,,6482170.00010648,1730367.99984288
POINT (-118.35315183308775 34.09690613237493),41,Fire Station 41,1439 N GARDNER ST,90046,FIRE,1439,N,GARDNER,ST,,,6454750.00015657,1857836.00015572
POINT (-118.42817163868972 34.005880095228164),62,Fire Station 62,11970 W. VENICE BLVD,90066,FIRE,11970,W,VENICE,BLVD,,,6431896.78306781,1824798.41892129
POINT (-118.21073194836286 34.13948426993484),42,Fire Station 42,2021 COLORADO BLVD,90041,FIRE,2021,,COLORADO,BLVD,,,6497900.00014249,1873209.99991946
POINT (-118.40554452300081 34.023085283729976),43,Fire Station 43,3690 S. MOTOR AVE,90034,FIRE,3690,S,MOTOR,AVE,,,6438805.62358081,1831047.37558347
POINT (-118.18695549002491 34.08546216180681),47,Fire Station 47,4575 S HUNTINGTON DR,90032,FIRE,4575,S,HUNTINGTON,DR,,,6505058.08917274,1853536.1488473
POINT (-118.29049852281366 33.729689420173976),48,Fire Station 48,1601 S GRAND AVE,90731,FIRE,1601,S,GRAND,AVE,,,6473332.00006598,1724136.99983771
POINT (-118.2445650758705 34.11533892720518),50,Fire Station 50,3036 FLETCHER DR,90065,FIRE,3036,,FLETCHER,DR,,,6487640.86711748,1864446.27564904
POINT (-118.21936667211293 34.12416049793684),55,Fire Station 55,4455 E YORK BLVD,90041,FIRE,4455,E,YORK,BLVD,,,6495275.00014314,1867638.99990663
POINT (-118.26362282735617 34.107571072314315),56,Fire Station 56,2759 ROWENA AVE,90039,FIRE,2759,,ROWENA,AVE,,,6481865.00006032,1861634.00010563
POINT (-118.3839676448887 34.050699789423014),58,Fire Station 58,1556 S ROBERTSON BLVD,90035,FIRE,1556,S,ROBERTSON,BLVD,,,6445374.99987774,1841194.99997321
POINT (-118.44438310627994 34.03667357305661),59,Fire Station 59,11505 W OLYMPIC BLVD,90025,FIRE,11505,W,OLYMPIC,BLVD,,,6427033.00014448,1836026.00014064
POINT (-118.37861115007448 34.16750196113168),60,Fire Station 60,5320 TUJUNGA AVE,91601,FIRE,5320,,TUJUNGA,AVE,,,6447138.99995865,1883554.99989872
POINT (-118.24025977006441 33.946055695122816),65,Fire Station 65,1801 E CENTURY BLVD,90002,FIRE,1801,E,CENTURY,BLVD,,,6488796.75719415,1802837.75155664
POINT (-118.2360793261555 34.050171452491895),4,Fire Station 4,450 E TEMPLE ST,90012,FIRE,450,E,TEMPLE,ST,,,6490029.00013648,1843988.99996263
POINT (-118.34708449440089 34.06941193256844),61,Fire Station 61,5821 W 3RD ST,90036,FIRE,5821,W,3RD,ST,,,6456627.00001147,1847823.99983855
POINT (-118.28678871805577 34.00425147707448),46,Fire Station 46,4370 S. HOOVER ST.,90037,FIRE,4370,S,HOOVER,ST,,,6474745.15832889,1824053.34035896
POINT (-118.27830206826947 33.74055629592701),112,Fire Station 112,444 S HARBOR BLVD,90731,FIRE,444,S,HARBOR,BLVD,,BERTH #86,6477051.63271856,1728081.27967879
POINT (-118.23097808594562 34.09685137694621),44,Fire Station 44,1410 CYPRESS AVE,90065,FIRE,1410,,CYPRESS,AVE,,,6491737.95636423,1857708.59981996
