FID,BATTALION_,DIVISION_N,FIRSTIN_DI,RFSNUM,AREA_SQMI,BUREAU,SHAPE_AREA,SHAPE_LEN,Shape__Area,Shape__Length
1,5,3,76,76,4.62056799,WEST BUREAU,0.0011696791712,0.235830517495,17511446.671875,28762.4681675124
2,14,3,86,86,3.31341211,VALLEY BUREAU,0.000838911778147,0.164303113065,12561527.9570313,19753.49932437
3,2,1,55,55,2.89650052,CENTRAL BUREAU,0.000733131645249,0.157860455513,10974286.0898438,19094.1709396962
4,11,1,6,6,2.23175833,CENTRAL BUREAU,0.000564568119768,0.109406997747,8446461.71484375,13455.4055441225
5,15,3,96,96,8.05273084,VALLEY BUREAU,0.00204137958948,0.202732547955,30604213.4804688,24924.4231641709
6,15,3,70,70,4.54150535,VALLEY BUREAU,0.00115128283788,0.177548112979,17260081.5820313,21634.6349978312
7,1,1,2,2,2.92683398,CENTRAL BUREAU,0.000740164672513,0.135960432119,11070073.2265625,16677.3155014472
8,15,3,107,107,4.56685161,VALLEY BUREAU,0.00115776595861,0.154056743429,17358131.5351563,18901.5713979344
9,18,1,68,68,3.8892001,SOUTH BUREAU,0.000983469835633,0.158320289111,14707993.2148438,19098.4137749156
10,15,3,28,28,3.05095639,VALLEY BUREAU,0.000773749770618,0.14570569987,11604946.890625,17583.0126144769
11,6,1,36,36,3.51203305,SOUTH BUREAU,0.000885035487402,0.181251217482,13191444.3828125,22014.2337729658
12,6,1,112,112,1.33561298,SOUTH BUREAU,0.000336504696048,0.115354041706,5014554.49609375,14430.9284832249
13,6,1,40,40,4.70331085,SOUTH BUREAU,0.00118497567035,0.162377847408,17658342.3867188,19949.4909444366
14,17,3,84,84,7.28157487,VALLEY BUREAU,0.00184385109348,0.224408661988,27612779.234375,27308.9620244821
15,9,3,59,59,3.06402913,WEST BUREAU,0.000774726748598,0.14065860027,11585052.2929688,16997.6409258046
16,12,3,75,75,6.6258056,VALLEY BUREAU,0.00168017606352,0.190448174069,25197028.1757813,23118.8089104479
17,12,3,7,7,6.66044464,VALLEY BUREAU,0.00168818346493,0.180890560211,25306130.3085938,21838.6533189086
18,1,1,25,25,2.28946319,CENTRAL BUREAU,0.000578822435987,0.116857270037,8654676.796875,14326.381376842
19,2,1,16,16,2.43844472,CENTRAL BUREAU,0.000616805130091,0.134372985141,9227305.8515625,16149.0025071098
20,13,1,15,15,2.36789064,SOUTH BUREAU,0.000598632203875,0.122728236063,8950601.921875,14723.1734538546
21,14,3,78,78,4.69211188,VALLEY BUREAU,0.00118795397502,0.211867373226,17787499.4570313,25861.7016461374
22,2,1,47,47,3.41383497,CENTRAL BUREAU,0.000863717606411,0.175695443587,12923739.6601563,21065.8343851099
23,5,3,52,52,2.28529979,WEST BUREAU,0.000578160445607,0.118891941253,8650520.546875,14379.4202080327
24,11,1,29,29,2.71854843,CENTRAL BUREAU,0.000687588059269,0.133437316952,10285154.1796875,16206.6095418036
