,year,district,month,season,incident_count_in_district_-_non-ems,incident_count_in_district_-_ems,nc_name,avg_travel_time_ems,avg_travel_time_non_ems,avg_turnout_time_non_ems,avg_turnout_time_ems
0,2013,1,Jan,winter,45,183,LINCOLN HEIGHTS NC,257,279,82,70
1,2013,1,Feb,winter,38,165,LINCOLN HEIGHTS NC,256,227,79,72
2,2013,1,Mar,spring,44,174,LINCOLN HEIGHTS NC,257,245,80,73
3,2013,1,Apr,spring,45,173,LINCOLN HEIGHTS NC,243,299,78,70
4,2013,1,May,spring,53,234,LINCOLN HEIGHTS NC,256,270,76,76
5,2013,1,Jun,summer,44,187,LINCOLN HEIGHTS NC,241,267,76,72
6,2013,1,Jul,summer,40,190,LINCOLN HEIGHTS NC,254,263,80,78
7,2013,1,Aug,summer,48,195,LINCOLN HEIGHTS NC,241,285,78,78
8,2013,1,Sep,fall,48,192,LINCOLN HEIGHTS NC,277,300,75,77
9,2013,1,Oct,fall,52,175,LINCOLN HEIGHTS NC,257,272,75,77
10,2013,1,Nov,fall,50,184,LINCOLN HEIGHTS NC,283,275,82,78
11,2013,1,Dec,winter,47,194,LINCOLN HEIGHTS NC,263,267,75,78
12,2013,1,Overall 2013,Overall 2013,554,2246,LINCOLN HEIGHTS NC,257,272,78,75
13,2013,2,Jan,winter,72,346,BOYLE HEIGHTS NC,204,224,74,80
14,2013,2,Feb,winter,65,313,BOYLE HEIGHTS NC,219,185,71,82
15,2013,2,Mar,spring,44,303,BOYLE HEIGHTS NC,226,218,75,79
16,2013,2,Apr,spring,54,315,BOYLE HEIGHTS NC,211,208,76,81
17,2013,2,May,spring,48,319,BOYLE HEIGHTS NC,220,257,71,81
18,2013,2,Jun,summer,49,271,BOYLE HEIGHTS NC,228,256,75,80
19,2013,2,Jul,summer,54,282,BOYLE HEIGHTS NC,208,244,68,79
20,2013,2,Aug,summer,57,284,BOYLE HEIGHTS NC,218,207,73,80
21,2013,2,Sep,fall,71,296,BOYLE HEIGHTS NC,215,210,70,82
