,nc_name,total_pop,white_pop,black_pop,ameri_es_pop,asian_pop,hawn_pi_pop,other_pop,multi_pop,in_poverty,owner_occ,renter_occ
0,ARLETA NC,34932.84,2882.67,409.67,67.64,4061.31,34.96,37.58,245.05,34700.56,5590.27,2159.94
3,BEL AIR-BEVERLY CREST NC,26789.14,22024.61,349.63,0.02,1787.79,0.01,156.92,946.28,26623.97,8939.21,1943.18
4,BOYLE HEIGHTS NC,81900.56,1562.2,640.97,63.63,2266.59,73.99,90.3,98.5,81144.31,4743.28,16001.77
5,CANOGA PARK NC,47610.41,9635.07,1552.18,195.64,5932.33,69.39,61.12,605.86,47127.9,5264.73,8970.22
6,CENTRAL ALAMEDA NC,28249.27,117.69,2400.73,37.97,259.14,22.77,48.07,100.08,28100.25,1912.16,4389.37
7,CENTRAL HOLLYWOOD NC,19861.33,8700.96,1097.36,8.57,1179.26,81.56,13.65,567.42,19808.73,679.64,9033.08
8,CENTRAL SAN PEDRO NC,30504.32,5667.14,2660.12,110.26,810.8,337.86,51.09,828.38,30216.99,1966.03,8445.43
9,CHATSWORTH NC,39816.55,18689.38,1606.47,64.16,7239.56,20.55,83.92,1348.13,39187.7,9160.98,4603.02
10,COASTAL SAN PEDRO NC,27675.86,14089.9,1494.19,46.43,1181.33,7.4,71.33,804.25,27361.89,5139.16,5946.45
11,COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),44484.71,133.93,9182.48,117.31,26.81,19.0,70.82,49.8,44253.46,3181.92,7356.65
13,DOWNTOWN LOS ANGELES,40227.2,10689.28,6915.39,110.71,7388.38,228.18,199.22,767.91,38844.73,2519.25,18885.96
14,EAGLE ROCK NC,31812.31,9246.63,408.76,140.12,7787.22,62.97,46.19,793.85,30065.65,5839.3,4752.25
17,EMPOWERMENT CONGRESS CENTRAL AREA NDC,42234.17,371.36,16571.66,0.84,377.41,39.41,523.05,266.13,41751.48,6041.42,6367.32
18,EMPOWERMENT CONGRESS NORTH AREA NDC,76317.77,9895.52,13161.5,22.72,8719.64,199.41,587.99,959.65,67401.67,4310.47,15892.95
19,EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,72179.2,927.71,22087.96,110.79,143.9,10.07,0.07,475.1,71738.61,6572.97,12288.99
21,EMPOWERMENT CONGRESS WEST AREA NDC,36164.13,1197.49,24122.8,45.67,974.76,134.1,308.49,836.8,35936.9,4396.6,11251.54
22,ENCINO NC,46050.64,35141.17,1224.98,63.41,2928.78,19.92,101.94,1531.1,45950.91,11491.49,7863.18
